run_name,model_name,dataset,shape_mode,k,f,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
async_qwen8b_k4_f1_n4_o64_off0,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,29.634044268783256,35.305799930832464,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,65.52345227900442,44.27573334728726,44.27573334728726,91
async_qwen8b_k4_f1_n4_o64_off12,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,30.137560634497106,35.742518211835275,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,64.64050247098555,44.88051283947065,44.88051283947065,91
async_qwen8b_k4_f1_n4_o64_off4,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,30.59426653238424,36.08328798940586,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,64.89764287515165,44.70268522201889,44.70268522201889,91
async_qwen8b_k4_f1_n4_o64_off8,Qwen3-8B,gsm,async_ssd,4,1,,,1,0.0,4,64,30.424531173884965,35.62617220663044,2.901098901098901,3.4150943396226414,2.1842105263157894,0.5824175824175825,64.6219102276878,44.893425323968536,44.893425323968536,91
async_qwen8b_k4_f2_n4_o64_off0,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,30.591799745451496,36.145860050222375,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.7752328448325,44.78716283503624,44.78716283503624,91
async_qwen8b_k4_f2_n4_o64_off12,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,31.210205202957404,36.69510578385372,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.6087252279068,44.902586931800556,44.902586931800556,91
async_qwen8b_k4_f2_n4_o64_off4,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,30.62341167738687,36.716831814541855,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.54747159463855,44.945198153042334,44.945198153042334,91
async_qwen8b_k4_f2_n4_o64_off8,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,4,64,30.721100723032155,36.69300704889644,2.901098901098901,3.3278688524590163,2.033333333333333,0.6703296703296703,64.87622176000214,44.71744535048592,44.71744535048592,91
async_qwen8b_k4_f4_n4_o64_off0,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,30.702248739890056,37.52288611656444,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.89918727184768,44.215734249049376,44.215734249049376,92
async_qwen8b_k4_f4_n4_o64_off12,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,31.407190132401436,37.28106764265706,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.65545286545935,44.382416180156426,44.382416180156426,92
async_qwen8b_k4_f4_n4_o64_off4,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,31.54294713279551,37.64597973502251,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.61173742908336,44.41244472865144,44.41244472865144,92
async_qwen8b_k4_f4_n4_o64_off8,Qwen3-8B,gsm,async_ssd,4,4,,,1,0.0,4,64,30.49408386128615,37.86635889249264,2.869565217391304,3.142857142857143,2.0,0.7608695652173914,64.52444998506942,44.47252503594071,44.47252503594071,92
async_qwen8b_k6_f1_n4_o64_off0,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,31.536644553008017,38.30772599085147,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,64.81649649397629,50.98822410260367,50.98822410260367,82
async_qwen8b_k6_f1_n4_o64_off12,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,31.373849458489808,38.1595460772453,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,64.69925461768558,51.08062014484317,51.08062014484317,82
async_qwen8b_k6_f1_n4_o64_off4,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,31.1216289765774,38.41150071518106,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,64.75551496827748,51.03624070319703,51.03624070319703,82
async_qwen8b_k6_f1_n4_o64_off8,Qwen3-8B,gsm,async_ssd,6,1,,,1,0.0,4,64,30.899780665283746,37.518343884826706,3.3048780487804876,4.0,2.4594594594594597,0.5487804878048781,65.34917805934461,50.57260315928192,50.57260315928192,82
async_qwen8b_k6_f2_n4_o64_off0,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,31.73590137917076,39.55916329002969,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,64.74283940681234,50.6695077777647,50.6695077777647,82
async_qwen8b_k6_f2_n4_o64_off12,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,31.229455631614623,39.28319078768939,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,64.7513217962824,50.66287009860535,50.66287009860535,82
async_qwen8b_k6_f2_n4_o64_off4,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,32.230809352327945,39.26434756789885,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,64.81560610984339,50.61262251129129,50.61262251129129,82
async_qwen8b_k6_f2_n4_o64_off8,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,32.49088550720875,39.253637795859674,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,65.05887942365939,50.42336778529055,50.42336778529055,82
async_qwen8b_k6_f3_n4_o64_off0,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,31.976356821872276,41.401762172695754,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.629464728258,50.75839353878662,50.75839353878662,82
async_qwen8b_k6_f3_n4_o64_off12,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,30.86662867299508,41.224504233487046,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.7820634994565,50.63882852242845,50.63882852242845,82
async_qwen8b_k6_f3_n4_o64_off4,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,31.74173585974347,41.28943722933206,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.68850689962869,50.71206559100344,50.71206559100344,82
async_qwen8b_k6_f3_n4_o64_off8,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,31.775411134040876,41.31676636638463,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.74334688675476,50.66911061326632,50.66911061326632,82
async_qwen8b_k8_f1_n4_o64_off0,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,30.18740523226289,37.89774251578134,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,64.9590987774233,54.18794389468015,54.18794389468015,75
async_qwen8b_k8_f1_n4_o64_off12,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,31.66623011419335,37.594576508625266,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,65.23764250179131,53.95657882492223,53.95657882492223,75
async_qwen8b_k8_f1_n4_o64_off4,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,31.908683798597927,37.68195429616673,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,64.81960467994213,54.30455827956065,54.30455827956065,75
async_qwen8b_k8_f1_n4_o64_off8,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,29.62869966283594,37.69911302300572,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,65.1647452947994,54.01693790217147,54.01693790217147,75
async_qwen8b_k8_f2_n4_o64_off0,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,30.25384270400945,39.44553768065912,3.52,4.355555555555555,2.2666666666666666,0.6,65.13246026510994,54.04371316041916,54.04371316041916,75
async_qwen8b_k8_f2_n4_o64_off12,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,31.287151834360376,39.590842173947756,3.52,4.355555555555555,2.2666666666666666,0.6,64.90877045939366,54.22995960464357,54.22995960464357,75
async_qwen8b_k8_f2_n4_o64_off4,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,31.24479707240933,39.37120930152621,3.52,4.355555555555555,2.2666666666666666,0.6,64.88679368669789,54.248326970756416,54.248326970756416,75
async_qwen8b_k8_f2_n4_o64_off8,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,30.063791834172378,39.57637118765576,3.52,4.355555555555555,2.2666666666666666,0.6,64.857036365817,54.27321686649287,54.27321686649287,75
async_qwen8b_k8_f4_n4_o64_off0,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,31.58912170334666,40.81312951485388,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,65.11108163123329,54.06145792410677,54.06145792410677,75
async_qwen8b_k8_f4_n4_o64_off12,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,31.478013374688306,40.69482044856718,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,64.87671616176765,54.256753551197214,54.256753551197214,75
async_qwen8b_k8_f4_n4_o64_off4,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,31.208482563575398,40.70250281777218,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,65.12540170922875,54.04957063782978,54.04957063782978,75
async_qwen8b_k8_f4_n4_o64_off8,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,30.169900867202646,40.58890382179925,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,64.7677187435329,54.34806209461368,54.34806209461368,75
